(class, KEYCLASS)
(Binky, IDENTIFIER)
({, LEFTBRACE)
(void, TYPEVOID)
(Method, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(}, RIGHTBRACE)
(}, RIGHTBRACE)
(void, TYPEVOID)
(main, IDENTIFIER)
((, LEFTPAREN)
(), RIGHTPAREN)
({, LEFTBRACE)
(Binky, IDENTIFIER)
(d, IDENTIFIER)
(;, SEMICOLON)
(Binky, IDENTIFIER)
(a, IDENTIFIER)
(;, SEMICOLON)
(d, IDENTIFIER)
(=, OPASSIGN)
(new, KEYNEW)
(Binky, IDENTIFIER)
(;, SEMICOLON)
(a, IDENTIFIER)
(=, OPASSIGN)
(new, KEYNEW)
(Binky, IDENTIFIER)
(;, SEMICOLON)
(a, IDENTIFIER)
(=, OPASSIGN)
(d, IDENTIFIER)
(;, SEMICOLON)
(}, RIGHTBRACE)
